Transaction Date,Transaction Description,Debit Amount,Credit Amount,Categories
25/04/2022,COMMON ROOM,14.5,,
25/04/2022,J D WETHERSPOON PL,6.45,,
25/04/2022,RCPMOTO,1543.26,,
26/04/2022,NTSU - CITY COSTA,4.5,,
26/04/2022,TESCO STORE 2960,3.35,,
26/04/2022,WAITROSE 833,0.49,,
27/04/2022,SKY MOBILE,12.0,,
27/04/2022,PAYPAL PAYMENT,10.0,,
29/04/2022,NTSU - CITY COSTA,5.9,,
29/04/2022,TESCO STORE 2960,2.64,,
03/05/2022,SHERWOOD CLIMBING,40.0,,
03/05/2022,OHANNES BURGER,7.5,,
03/05/2022,WWW.UFCGY.* WWW.UF,63.99,,
03/05/2022,THE CLIMBLING HANG,8.5,,
03/05/2022,TRAMLINK NOTTINGHA,3.7,,
03/05/2022,Kollective Coffee,2.9,,
03/05/2022,ALDI,3.47,,
03/05/2022,MR GEORGE YUÃ DUAN,8.0,,
03/05/2022,SUBWAY 65440 Linco,4.59,,
04/05/2022,ALDI,16.17,,
04/05/2022,NTSU - CITY COSTA,4.5,,
05/05/2022,NTU CATERING SERVI,1.4,,
06/05/2022,LI LYN TAN,15.4,,
09/05/2022,NTU CATERING SERVI,3.35,,
09/05/2022,trent kebabs,2.5,,
09/05/2022,TESCO STORE 2960,2.69,,
09/05/2022,NTSU-SU EXPRESS,0.69,,
09/05/2022,DANIEL KWAN,,4.7,
09/05/2022,MR M H CHOW,9.5,,
10/05/2022,NTSU - CITY COSTA,4.5,,
10/05/2022,TESCO STORE 2960,3.35,,
10/05/2022,NTU CATERING SERVI,3.0,,
10/05/2022,NTSU-SU EXPRESS,1.25,,
11/05/2022,NTSU - CITY COSTA,4.5,,
11/05/2022,MCDONALDS,1.99,,
12/05/2022,TESCO STORES 5954,1.1,,
13/05/2022,ALDI,17.84,,
13/05/2022,Subway 39497 Victo,4.59,,
13/05/2022,NTSU - CITY COSTA,2.4,,
13/05/2022,TESCO STORE 2960,0.2,,
16/05/2022,MR GEORGE YU  DUAN,16.0,,
16/05/2022,DANIEL KWAN,,8.0,
16/05/2022,SQ *SYIOK-LAH,14.5,,
16/05/2022,STARBUCKS,5.35,,
16/05/2022,TESCO STORE 2960,1.55,,
16/05/2022,TESCO STORES 6735,1.0,,
16/05/2022,PRIMARK,2.0,,
16/05/2022,BREWDOG,19.1,,
16/05/2022,NTU CATERING SERVI,1.4,,
17/05/2022,THE WATCH LAB NOTT,95.0,,
17/05/2022,ALDI,7.74,,
17/05/2022,NTU CATERING SERVI,4.7,,
17/05/2022,NTU CATERING SERVI,1.4,,
18/05/2022,NTSU - CITY COSTA,4.5,,
19/05/2022,NTSU - CITY COSTA,4.5,,
19/05/2022,TESCO STORE 2960,0.8,,
20/05/2022,NTSU - CITY COSTA,4.5,,
23/05/2022,APPLE.COM/BILL,7.99,,
23/05/2022,ORIENTAL MART HYDR,2.99,,
23/05/2022,WHEELHOUSE,2.59,,
23/05/2022,LIDL GBÃ NOTTINGHA,0.98,,
23/05/2022,NTU CATERING SERVI,1.4,,
23/05/2022,YEE JUN WONG,9.0,,
23/05/2022,LI LYN TAN,18.7,,
24/05/2022,CHEN HOUSES LIMITE,21.25,,
25/05/2022,JOLLIBEE,7.99,,
25/05/2022,NTSU - CITY COSTA,4.5,,
25/05/2022,TESCO STORE 2960,2.66,,
25/05/2022,PRIMARK,29.0,,
25/05/2022,SKY MOBILE,12.0,,
25/05/2022,DANIEL KWAN,,3.99,
26/05/2022,ALDI,11.13,,
26/05/2022,AMZNMktplace,6.49,,
26/05/2022,NTSU - CITY COSTA,4.3,,
27/05/2022,ALDI,4.1,,
30/05/2022,TESCO STORES 5223,4.0,,
30/05/2022,YIYANGJIANG,122.45,,
30/05/2022,CHEN HOUSES LIMITE,18.92,,
30/05/2022,FIVE GUYS NOTTINGH,14.2,,
01/06/2022,TESCO STORES 6735,2.55,,
06/06/2022,ALDI,5.99,,
06/06/2022,ALDI,2.27,,
06/06/2022,SAINSBURYS S/MKTS,20.55,,
06/06/2022,PRIMARK,2.0,,
06/06/2022,TRAMLINK NOTTINGHA,3.7,,
06/06/2022,EAST MIDLANDS RAIL,10.55,,
06/06/2022,HARPURS PLAICE,5.8,,
06/06/2022,WWW.UFCGY.* WWW.UF,63.99,,
06/06/2022,High Peak Buses,10.5,,
06/06/2022,Contactless.travel,7.0,,
06/06/2022,SHERWOOD CLIMBING,40.0,,
06/06/2022,APPLE.COM/BILL,12.99,,
06/06/2022,NTSU - CITY COSTA,4.5,,
06/06/2022,NTSU - CITY COSTA,0.5,,
06/06/2022,PRIMARK,9.0,,
07/06/2022,TESCO STORES 5954,0.8,,
08/06/2022,PAYPAL PAYMENT,5.0,,
08/06/2022,PAYPAL PAYMENT,1.0,,
,nan,,,
,COMMON ROOM,14.5,,personal
,J D WETHERSPOON PL,6.45,,food
,RCPMOTO,1543.26,,utilities
,NTSU - CITY COSTA,4.5,,food
,TESCO STORE 2960,3.35,,grocerys
,WAITROSE 833,0.49,,grocerys
,SKY MOBILE,12.0,,utilities
,PAYPAL PAYMENT,10.0,,personal
,NTSU - CITY COSTA,5.9,,food
,TESCO STORE 2960,2.64,,grocerys
,SHERWOOD CLIMBING,40.0,,entertainment
,OHANNES BURGER,7.5,,food
,WWW.UFCGY.* WWW.UF,63.99,,entertainment
,THE CLIMBLING HANG,8.5,,
,TRAMLINK NOTTINGHA,3.7,,travel
,Kollective Coffee,2.9,,
,ALDI,3.47,,grocerys
,MR GEORGE YUÃÂ DUAN,8.0,,
,SUBWAY 65440 Linco,4.59,,
,ALDI,16.17,,grocerys
,NTU CATERING SERVI,1.4,,food
,LI LYN TAN,15.4,,personal
,NTU CATERING SERVI,3.35,,food
,trent kebabs,2.5,,food
,TESCO STORE 2960,2.69,,grocerys
,NTSU-SU EXPRESS,0.69,,food
,DANIEL KWAN,,4.7,personal
,MR M H CHOW,9.5,,personal
,NTU CATERING SERVI,3.0,,food
,NTSU-SU EXPRESS,1.25,,food
,MCDONALDS,1.99,,food
,TESCO STORES 5954,1.1,,grocerys
,ALDI,17.84,,grocerys
,Subway 39497 Victo,4.59,,food
,NTSU - CITY COSTA,2.4,,food
,TESCO STORE 2960,0.2,,grocerys
,MR GEORGE YU  DUAN,16.0,,
,DANIEL KWAN,,8.0,personal
,SQ *SYIOK-LAH,14.5,,
,STARBUCKS,5.35,,
,TESCO STORE 2960,1.55,,grocerys
,TESCO STORES 6735,1.0,,personal
,PRIMARK,2.0,,cloths
,BREWDOG,19.1,,
,THE WATCH LAB NOTT,95.0,,
,ALDI,7.74,,grocerys
,NTU CATERING SERVI,4.7,,food
,TESCO STORE 2960,0.8,,grocerys
,APPLE.COM/BILL,7.99,,
,ORIENTAL MART HYDR,2.99,,grocerys
,WHEELHOUSE,2.59,,
,LIDL GBÃÂ NOTTINGHA,0.98,,
,YEE JUN WONG,9.0,,
,LI LYN TAN,18.7,,personal
,CHEN HOUSES LIMITE,21.25,,
,JOLLIBEE,7.99,,food
,TESCO STORE 2960,2.66,,grocerys
,PRIMARK,29.0,,cloths
,DANIEL KWAN,,3.99,personal
,ALDI,11.13,,grocerys
,AMZNMktplace,6.49,,shopping
,NTSU - CITY COSTA,4.3,,food
,ALDI,4.1,,grocerys
,TESCO STORES 5223,4.0,,
,YIYANGJIANG,122.45,,
,CHEN HOUSES LIMITE,18.92,,
,FIVE GUYS NOTTINGH,14.2,,
,TESCO STORES 6735,2.55,,personal
,ALDI,5.99,,grocerys
,ALDI,2.27,,grocerys
,SAINSBURYS S/MKTS,20.55,,grocerys
,EAST MIDLANDS RAIL,10.55,,travel
,HARPURS PLAICE,5.8,,
,High Peak Buses,10.5,,
,Contactless.travel,7.0,,
,APPLE.COM/BILL,12.99,,
,NTSU - CITY COSTA,0.5,,food
,PRIMARK,9.0,,cloths
,TESCO STORES 5954,0.8,,grocerys
,PAYPAL PAYMENT,5.0,,personal
,PAYPAL PAYMENT,1.0,,personal
